tweet_id,company,polaridade
1031514750667173888,MARFRIG,1
1129022971513851905,MARFRIG,1
1128800900657614849,MARFRIG,1
958814754314833927,MARFRIG,0
944187491279613952,MARFRIG,0
930110667541098497,MARFRIG,0
928955735018561536,MARFRIG,0
928593194618585088,MARFRIG,0
859543194123612160,MARFRIG,0
846769040827863040,MARFRIG,0
841416236479201287,MARFRIG,0
840291348817276929,MARFRIG,0
838803983577788416,MARFRIG,0
837059978468945920,MARFRIG,0
825056002210938881,MARFRIG,0
818865262413905921,MARFRIG,0
811570769448857600,MARFRIG,0
795989520659415040,MARFRIG,0
784408203828293632,MARFRIG,0
781924248621355009,MARFRIG,0
781856286937903104,MARFRIG,0
780837110475554816,MARFRIG,0
770667664494690304,MARFRIG,0
769225546580525056,MARFRIG,0
755477603243421696,MARFRIG,0
750313392431390720,MARFRIG,0
748925443617718272,MARFRIG,0
748139080051994624,MARFRIG,0
738384871291293696,MARFRIG,0
738022515872796672,MARFRIG,0
727928466289610753,MARFRIG,0
727581157798379521,MARFRIG,0
725361512043438080,MARFRIG,0
718211995204526082,MARFRIG,0
718196914966130693,MARFRIG,0
717823029359812609,MARFRIG,0
714935376184545282,MARFRIG,0
704758515466952704,MARFRIG,0
704335600313307136,MARFRIG,0
1129018543914266626,MARFRIG,1
1128995047729500161,MARFRIG,1
1105465299057500160,MARFRIG,1
1101116799943393280,MARFRIG,1
1091362429647245314,MARFRIG,1
