tweet_id,company,polaridade
1123883457438994432,SANTANDER,1
1097120035900981249,SANTANDER,0
1073195586696957952,SANTANDER,1
1047440696003756032,SANTANDER,1
1045275353567162368,SANTANDER,0
1039503166725861378,SANTANDER,1
1124707821407350784,SANTANDER,0
1124317296674078720,SANTANDER,0
1123193211311271938,SANTANDER,1
1113431484290015232,SANTANDER,1
958756156725489665,SANTANDER,1
948622643066032128,SANTANDER,0
934179947983327232,SANTANDER,0
920991714000633862,SANTANDER,0
913146379903623174,SANTANDER,0
910156875529940993,SANTANDER,0
904690887468482561,SANTANDER,0
892112935857922052,SANTANDER,1
891070998782586882,SANTANDER,1
890323445174734848,SANTANDER,0
888473972450500611,SANTANDER,0
884487634864812034,SANTANDER,0
877179375124447233,SANTANDER,0
872589122099175424,SANTANDER,1
867772428516196352,SANTANDER,0
857353761542615041,SANTANDER,0
857323596867407872,SANTANDER,1
854047031584837632,SANTANDER,0
850098372157599744,SANTANDER,0
849713424225447936,SANTANDER,0
847153977301045248,SANTANDER,0
"8,34168E+17",SANTANDER,0
828981840354623488,SANTANDER,0
826082732455374848,SANTANDER,0
824950186258681856,SANTANDER,1
824723806216413184,SANTANDER,1
"8,18895E+17",SANTANDER,0
815966078354522112,SANTANDER,0
805743606707486720,SANTANDER,0
803342940118642688,SANTANDER,1
803267437344919552,SANTANDER,0
803222033895137280,SANTANDER,0
800670180519120896,SANTANDER,0
785918282117382144,SANTANDER,0
776171339552002048,SANTANDER,1
768146079892246528,SANTANDER,0
761638195364761600,SANTANDER,0
759078682862489600,SANTANDER,0
757928485742604288,SANTANDER,0
756141899728183296,SANTANDER,0
751400564773228544,SANTANDER,0
748546968205524992,SANTANDER,0
735183866919587841,SANTANDER,0
734739437733728256,SANTANDER,0
725459747550429189,SANTANDER,1
718536575861321728,SANTANDER,0
718529103079587840,SANTANDER,0
715584611770888192,SANTANDER,0
715248542772813824,SANTANDER,0
709461778766413825,SANTANDER,0
707242163554414593,SANTANDER,0
704796054403817472,SANTANDER,1
698129553139568640,SANTANDER,0
694883252499279872,SANTANDER,0
692739207010369537,SANTANDER,0
692437343681253376,SANTANDER,1
687333647108694016,SANTANDER,0
683996424774795264,SANTANDER,0
679391339772014596,SANTANDER,0
679029021389299713,SANTANDER,1
674650159901487107,SANTANDER,0
672173802378412032,SANTANDER,1
666601868425093120,SANTANDER,0
1123197926195499009,SANTANDER,1
1118252825518247936,SANTANDER,-1
938176159006593025,SANTANDER,1
1114199060611837952,SANTANDER,1
1090563339095363584,SANTANDER,1
1082322786935279624,SANTANDER,1
1080454801085874176,SANTANDER,1
1090715278562848768,SANTANDER,0
1090687095683698688,SANTANDER,-1
1083721737055944705,SANTANDER,1
1123882395550265345,SANTANDER,1
1119921814434664449,SANTANDER,0
1118107417722671104,SANTANDER,1
1097119621688315905,SANTANDER,1
1073195447085383682,SANTANDER,1
1070276211572645888,SANTANDER,0
1063466069724147712,SANTANDER,0
1060451200729051136,SANTANDER,1
1058000546198634496,SANTANDER,1
1054738997166120961,SANTANDER,1
1052186267704848385,SANTANDER,1
1045275075921039360,SANTANDER,1
1044917232743174144,SANTANDER,1
1044568969615745028,SANTANDER,0
1043121961721839617,SANTANDER,1
1039502871207784454,SANTANDER,1
1038068706600013824,SANTANDER,1
1035501216749547520,SANTANDER,0
1029331223968145408,SANTANDER,1
1027570302476341249,SANTANDER,1
1027160907502243840,SANTANDER,1
1024279915162742785,SANTANDER,0
1019169133634686976,SANTANDER,0
1017752614883201024,SANTANDER,1
1014856387912925184,SANTANDER,1
1011550972202635264,SANTANDER,1
1000720076507623427,SANTANDER,1
932935589573332994,SANTANDER,1
929064139326152710,SANTANDER,0
917015650396266496,SANTANDER,-1
915929986510573568,SANTANDER,0
904324665858023424,SANTANDER,0
886669391680720897,SANTANDER,1
882619067324039168,SANTANDER,0
880766770688253953,SANTANDER,0
876409512583888896,SANTANDER,0
873932914442080257,SANTANDER,0
868876534421090304,SANTANDER,0
866288964331859968,SANTANDER,1
862728701880016896,SANTANDER,0
846478513842651136,SANTANDER,0
