tweet_id,company,polaridade
1128659599379267585,KROTON,-1
974703144956497921,KROTON,-1
1128651887547420675,KROTON,-1
1116338299164069889,KROTON,1
1113876692681089024,KROTON,1
1111627859783766016,KROTON,-1
1088088097445818368,KROTON,1
1123166675178803202,KROTON,1
1038069048117022720,KROTON,1
926417737475346432,KROTON,1
922775702902099968,KROTON,0
915929829656195072,KROTON,1
913721593746149376,KROTON,1
878285458169638912,KROTON,0
877886658057707522,KROTON,0
877476562463064064,KROTON,0
877228416860344321,KROTON,-1
867734880293138433,KROTON,1
