tweet_id,company,polaridade
1114855970339983360,PÃO DE AÇÚCAR,1
1052979166310801408,PÃO DE AÇÚCAR,1
1046766593039114243,PÃO DE AÇÚCAR,0
1128401177954140160,PÃO DE AÇÚCAR,1
1115232269487230976,PÃO DE AÇÚCAR,1
1127209057255923712,PÃO DE AÇÚCAR,0
1126596339406708741,PÃO DE AÇÚCAR,-1
1126570195307331584,PÃO DE AÇÚCAR,-1
1121171511090601985,PÃO DE AÇÚCAR,1
1098581704456003584,PÃO DE AÇÚCAR,1
969526589531844609,PÃO DE AÇÚCAR,1
944928656509587456,PÃO DE AÇÚCAR,1
943785996520509440,PÃO DE AÇÚCAR,1
927847552740921344,PÃO DE AÇÚCAR,1
885113957295509504,PÃO DE AÇÚCAR,1
